case_id,scenario,n_affected,lag,root,channel,role,break_type,homogeneous,delta_midcls,delta_attn
NA0_LAG50_003,NA0_LAG50,0,50,2,5,unrelated,,,0.04879659414291382,0.14303058385849
NA0_LAG50_003,NA0_LAG50,0,50,2,6,unrelated,,,0.05307739973068237,0.13350284099578857
NA0_LAG50_004,NA0_LAG50,0,50,1,2,unrelated,,,0.0062784552574157715,0.009035587310791016
NA0_LAG50_004,NA0_LAG50,0,50,1,3,unrelated,,,0.008119523525238037,0.0022890567779541016
NA0_LAG50_004,NA0_LAG50,0,50,1,4,unrelated,,,0.003980159759521484,0.007082164287567139
NA0_LAG50_004,NA0_LAG50,0,50,1,5,unrelated,,,0.0038379430770874023,0.008661270141601562
NA0_LAG50_004,NA0_LAG50,0,50,1,6,unrelated,,,0.00872039794921875,0.0009447336196899414
NA0_LAG50_005,NA0_LAG50,0,50,5,1,unrelated,,,0.050699710845947266,0.14491325616836548
NA0_LAG50_005,NA0_LAG50,0,50,5,2,unrelated,,,0.048618972301483154,0.13963085412979126
NA0_LAG50_005,NA0_LAG50,0,50,5,3,unrelated,,,0.049926578998565674,0.12185323238372803
NA0_LAG50_005,NA0_LAG50,0,50,5,4,unrelated,,,0.04767423868179321,0.16632723808288574
NA0_LAG50_005,NA0_LAG50,0,50,5,6,unrelated,,,0.05044072866439819,0.11961400508880615
NA0_LAG50_006,NA0_LAG50,0,50,2,1,unrelated,,,-0.0009884238243103027,0.005852639675140381
NA0_LAG50_006,NA0_LAG50,0,50,2,3,unrelated,,,-0.0004604458808898926,0.005625545978546143
NA0_LAG50_006,NA0_LAG50,0,50,2,4,unrelated,,,-0.0005738139152526855,0.008295178413391113
NA0_LAG50_006,NA0_LAG50,0,50,2,5,unrelated,,,-0.0007013678550720215,0.026861131191253662
NA0_LAG50_006,NA0_LAG50,0,50,2,6,unrelated,,,7.790327072143555e-05,0.006190896034240723
NA0_LAG50_007,NA0_LAG50,0,50,4,1,unrelated,,,-0.0013146400451660156,0.004037022590637207
