case_id,scenario,n_affected,lag,root,channel,role,break_type,homogeneous,dist_pre_cls,dist_post_cls,delta_cls,dist_pre_patch,dist_post_patch,delta_patch
NA0_LAG10_011,NA0_LAG10,0,10,2,5,unrelated,,,0.015429258346557617,0.23027896881103516,0.21484971046447754,0.009041368961334229,0.19140982627868652,0.1823684573173523
NA0_LAG10_011,NA0_LAG10,0,10,2,6,unrelated,,,0.0145263671875,0.22787600755691528,0.21334964036941528,0.007134795188903809,0.1958276629447937,0.1886928677558899
NA0_LAG10_012,NA0_LAG10,0,10,5,1,unrelated,,,0.03862416744232178,0.23675692081451416,0.19813275337219238,0.021780550479888916,0.20452743768692017,0.18274688720703125
NA0_LAG10_012,NA0_LAG10,0,10,5,2,unrelated,,,0.037051379680633545,0.22016912698745728,0.18311774730682373,0.0225374698638916,0.1934834122657776,0.170945942401886
NA0_LAG10_012,NA0_LAG10,0,10,5,3,unrelated,,,0.02240520715713501,0.21630722284317017,0.19390201568603516,0.01356053352355957,0.18207955360412598,0.1685190200805664
NA0_LAG10_012,NA0_LAG10,0,10,5,4,unrelated,,,0.03676807880401611,0.21272796392440796,0.17595988512039185,0.017837166786193848,0.18371319770812988,0.16587603092193604
NA0_LAG10_012,NA0_LAG10,0,10,5,6,unrelated,,,0.033485591411590576,0.21555554866790771,0.18206995725631714,0.019861280918121338,0.18980520963668823,0.1699439287185669
NA0_LAG10_013,NA0_LAG10,0,10,1,2,unrelated,,,0.04811364412307739,0.011977851390838623,-0.03613579273223877,0.028295934200286865,0.010866522789001465,-0.0174294114112854
NA0_LAG10_013,NA0_LAG10,0,10,1,3,unrelated,,,0.09969484806060791,0.022681832313537598,-0.07701301574707031,0.03833019733428955,0.019965171813964844,-0.018365025520324707
NA0_LAG10_013,NA0_LAG10,0,10,1,4,unrelated,,,0.026967406272888184,0.010297775268554688,-0.016669631004333496,0.016046524047851562,0.009349346160888672,-0.006697177886962891
NA0_LAG10_013,NA0_LAG10,0,10,1,5,unrelated,,,0.047538936138153076,0.013500571250915527,-0.03403836488723755,0.026741981506347656,0.010280609130859375,-0.01646137237548828
